City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
270,Yavaros,42,MX,1603739080,53,26.7,-109.52,87.01,8.99
271,Shimoda,17,JP,1603738960,88,34.67,138.95,54.0,1.01
272,Novo Aripuanã,99,BR,1603739080,44,-5.12,-60.38,95.45,2.59
273,Zhangaözen,5,KZ,1603739080,59,43.3,52.8,48.15,13.02
274,San Patricio,75,US,1603738913,62,28.02,-97.52,89.01,20.8
275,Tevriz,100,RU,1603739080,96,57.51,72.4,40.87,10.67
276,Hirara,97,JP,1603739080,70,24.8,125.28,76.62,15.82
277,Numan,31,NG,1603739080,28,9.47,12.03,81.61,1.61
278,Idanre,56,NG,1603739081,96,7.11,5.12,73.65,2.44
279,Jalu,10,LY,1603738949,50,29.03,21.55,72.27,6.89
280,Torbay,40,CA,1603738902,38,47.67,-52.73,42.01,13.87
281,Provideniya,20,RU,1603738912,93,64.38,-173.3,28.8,0.76
282,Halifax,75,CA,1603739070,66,44.65,-63.57,51.01,9.17
283,Basoko,30,CD,1603739081,91,1.24,23.62,73.65,1.21
284,Santa Marta,17,CO,1603738807,72,11.24,-74.2,87.01,1.01
285,Mayumba,86,GA,1603739081,86,-3.43,10.66,76.95,5.77
286,Yar-Sale,59,RU,1603738946,96,66.83,70.83,7.97,7.02
287,Mattru,88,SL,1603739082,93,7.62,-11.83,76.77,4.32
288,Gladstone,40,AU,1603739082,94,-23.85,151.25,69.8,4.7
289,Kollam,75,IN,1603738927,79,8.88,76.6,84.2,4.7
290,Norman Wells,75,CA,1603738636,73,65.28,-126.83,24.8,21.92
291,Pidhorodne,0,UA,1603739082,71,48.58,35.11,50.0,13.42
292,Lafia,0,NG,1603739082,61,8.48,8.52,80.11,2.13
293,Bafoulabé,0,ML,1603739082,14,13.81,-10.83,85.75,3.02
294,Adrar,0,MR,1603738927,11,20.5,-10.07,91.67,8.1
295,Mendi,99,PG,1603738898,97,-6.18,143.65,51.94,2.93
296,Inta,0,RU,1603739083,92,66.03,60.17,13.78,6.55
297,The Pas,20,CA,1603738835,49,53.83,-101.25,24.8,10.29
298,Quzhou,100,CN,1603739083,82,28.96,118.87,62.19,4.07
299,Avera,90,US,1603738888,94,33.19,-82.53,69.8,5.82
300,Yulara,0,AU,1603738940,31,-25.24,130.99,60.8,5.82
301,Bonavista,100,CA,1603739083,52,48.65,-53.11,41.0,8.99
302,Aykhal,75,RU,1603738957,91,66.0,111.5,-5.8,2.24
303,Viedma,15,AR,1603739083,14,-40.81,-63.0,82.0,10.0
